site_code,site_name,site_name_mj
01,新北市,新北市
30,臺北市,臺北市
02,宜蘭縣,宜蘭縣
31,松山區,臺北市
03,桃園市,桃園市
32,信義區,臺北市
04,新竹縣,新竹縣
33,大安區,臺北市
05,苗栗縣,苗栗縣
34,中山區,臺北市
07,彰化縣,彰化縣
35,中正區,臺北市
08,南投縣,南投縣
36,大同區,臺北市
09,雲林縣,雲林縣
37,萬華區,臺北市
10,嘉義縣,嘉義縣
38,文山區,臺北市
13,屏東縣,屏東縣
39,南港區,臺北市
14,臺東縣,臺東縣
40,內湖區,臺北市
15,花蓮縣,花蓮縣
41,士林區,臺北市
16,澎湖縣,澎湖縣
42,北投區,臺北市
17,基隆市,基隆市
64,高雄市,高雄市
18,新竹市,新竹市
12,高雄市,高雄市
120,嘉義市,嘉義市
50,高雄市,高雄市
266,臺中市,臺中市
51,鹽埕區,高雄市
06,臺中市,臺中市
152,鼓山區,高雄市
19,臺中市,臺中市
253,左營區,高雄市
67,臺南市,臺南市
54,楠梓區,高雄市
11,臺南市,臺南市
155,三民區,高雄市
21,臺南市,臺南市
256,新興區,高雄市
71,金門縣,金門縣
58,苓雅區,高雄市
72,連江縣,連江縣
59,前鎮區,高雄市
80,大陸地區,大陸地區
60,旗津區,高雄市
90,海外地區,海外地區
61,小港區,高雄市
